Date,Site,Sex,Weight,TailBreak
6/16/89,CALI,M,26,B
6/16/89,CALI,J,6,B
6/16/89,SAND,M,24,W
6/16/89,SAND,F,25,W
6/16/89,SAND,M,24,B
6/16/89,BASN,F,22,W
6/16/89,BASN,F,3,B
6/16/89,BASN,J,9,W
6/16/89,BASN,F,16,W
6/16/89,BASN,M,9,W
6/16/89,BASN,F,16,W
6/16/89,BASN,F,21,W
6/16/89,IBPE,.,.,.
6/16/89,IBPE,F,19,W
6/16/89,RABB,F,26,B
6/16/89,RABB,F,16,W
6/16/89,WELL,.,.,.
6/16/89,EAST,F,17,W
6/16/89,EAST,M,20,B
6/16/89,EAST,M,22,W
6/20/89,CALI,.,.,W
6/20/89,CALI,F,.,W
6/20/89,SAND,M,24,W
6/20/89,SAND,.,.,W
6/20/89,SAND,M,26,B
6/20/89,SAND,.,.,W
6/20/89,SAND,F,4,W
6/20/89,SAND,M,28,W
6/20/89,BASN,F,14,W
6/20/89,BASN,M,.,.
6/20/89,BASN,M,12,W
6/20/89,BASN,M,7,W
6/20/89,BASN,F,16,W
6/20/89,IBPE,.,.,.
6/20/89,IBPE,.,.,.
6/20/89,RABB,F,21,W
6/20/89,RABB,F,4,B
6/20/89,RABB,M,20,W
6/20/89,RABB,F,30,B
6/20/89,RABB,M,22,W
6/20/89,WELL,F,8,W
6/20/89,WELL,F,5,W
6/20/89,WELL,J,13,W
6/20/89,WELL,F,8,B
6/20/89,EAST,F,5,B
6/20/89,EAST,M,26,W
6/20/89,EAST,M,6,W
6/20/89,EAST,F,27,W
6/20/89,EAST,M,24,B
6/23/89,CALI,F,16,W
6/23/89,CALI,J,1,W
6/23/89,CALI,M,6,W
6/23/89,SAND,J,1,W
6/23/89,SAND,J,1,B
6/23/89,SAND,J,1,W
6/23/89,SAND,F,8,W
6/23/89,SAND,J,1,W
6/23/89,SAND,M,17,B
6/23/89,BASN,.,.,.
6/23/89,IBPE,F,4,W
6/23/89,IBPE,.,.,.
6/23/89,RABB,F,19,W
6/23/89,RABB,F,12,W
6/23/89,WELL,M,4,B
6/23/89,WELL,M,6,W
6/23/89,EAST,M,14,W
6/23/89,EAST,F,22,B
6/23/89,EAST,M,24,W
6/23/89,EAST,M,18,W
6/23/89,EAST,M,20,W
6/23/89,WEST,F,10,W
6/23/89,WEST,M,22,W
6/23/89,WEST,M,8,W
6/27/89,CALI,J,.,W
6/27/89,SAND,F,19,W
6/27/89,SAND,J,1,B
6/27/89,SAND,F,30,W
6/27/89,SAND,.,.,.
6/27/89,BASN,.,.,.
6/27/89,IBPE,J,1,W
6/27/89,IBPE,J,1,B
6/27/89,IBPE,M,7,W
6/27/89,IBPE,J,.,W
6/27/89,RABB,F,19,W
6/27/89,RABB,J,.,.
6/27/89,RABB,.,.,W
6/27/89,WELL,.,.,.
6/27/89,EAST,.,1,W
6/27/89,EAST,F,7,W
6/27/89,EAST,F,12,W
6/27/89,EAST,F,13,W
6/27/89,EAST,.,.,W
6/27/89,WEST,M,16,W
6/27/89,WEST,F,13,W
7/18/89,CALI,.,.,.
7/18/89,CALI,J,1,W
7/18/89,CALI,J,1,W
7/18/89,CALI,J,.,W
7/18/89,CALI,J,1,W
7/18/89,GRAV,.,.,.
7/18/89,GRAV,J,.,W
7/18/89,GRAV,M,16,W
7/18/89,SAND,J,.,W
7/18/89,SAND,F,20,W
7/18/89,SAND,F,5,B
7/18/89,BASN,F,15,W
7/18/89,BASN,J,1,W
7/18/89,IBPE,F,5,B
7/18/89,IBPE,J,.,.
7/18/89,IBPE,J,.,.
7/18/89,IBPE,J,.,.
7/18/89,IBPE,J,.,.
7/18/89,RABB,.,.,.
7/18/89,RABB,.,.,W
7/18/89,WELL,.,.,.
7/18/89,WELL,.,.,W
7/18/89,WELL,M,34,W
7/18/89,WELL,J,.,W
7/18/89,WELL,M,6,W
7/18/89,WELL,J,.,.
7/18/89,EAST,J,1,W
7/18/89,EAST,J,.,W
7/18/89,WEST,F,16,W
7/21/89,CALI,.,.,.
7/21/89,CALI,J,1,W
7/21/89,GRAV,F,22,W
7/21/89,SAND,J,.,W
7/21/89,SAND,F,8,B
7/21/89,BASN,J,.,W
7/21/89,BASN,F,18,W
7/21/89,IBPE,J,.,W
7/21/89,IBPE,J,.,W
7/21/89,IBPE,J,.,W
7/21/89,IBPE,F,4,W
7/21/89,IBPE,J,1,W
7/21/89,RABB,M,23,B
7/21/89,RABB,F,4,W
7/21/89,RABB,.,.,.
7/21/89,WELL,J,.,W
7/21/89,WELL,J,.,W
7/21/89,WELL,J,.,W
7/21/89,WELL,M,6,W
7/21/89,EAST,F,20,W
7/21/89,EAST,M,15,W
7/21/89,EAST,F,4,B
7/21/89,EAST,F,5,W
7/21/89,WEST,F,12,W
7/21/89,WEST,.,.,W
7/21/89,WEST,F,9,W
7/21/89,WEST,F,12,W
7/21/89,WEST,M,16,W
7/28/89,CALI,.,.,.
7/28/89,GRAV,.,.,.
7/28/89,SAND,J,.,.
